network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_CLAPS,clap_average_length,time_CLAPS,mem_CLAPS_bytes
ER,8000,4.0,5,1728,1661,1383,1316,3044,2634,1.2414634146341463,2.4711101055145264,5960140
BA,8000,4.0,5,2765,2773,1612,1620,4385,3811,1.2804878048780488,2.5218517780303955,4416216
ER,8000,4.0,6,1728,1661,1383,1316,3044,2634,1.2414634146341463,2.801691770553589,5708292
BA,8000,4.0,6,2765,2773,1634,1642,4407,3811,1.221476510067114,2.418619394302368,4444124
ER,8000,4.0,7,1728,1661,1377,1310,3038,2634,1.2202970297029703,2.6022818088531494,5921612
BA,8000,4.0,7,2765,2773,1634,1642,4407,3811,1.2164429530201342,2.8591654300689697,4279544
ER,8000,4.0,8,1728,1661,1375,1308,3036,2634,1.2611940298507462,2.2829153537750244,5583272
BA,8000,4.0,8,2765,2773,1623,1631,4396,3811,1.288888888888889,3.172097682952881,4459628
ER,8000,4.0,9,1728,1661,1355,1288,3016,2634,1.2094240837696335,2.1797494888305664,5835196
BA,8000,4.0,9,2765,2773,1630,1638,4403,3811,1.2195945945945945,2.6202807426452637,4415016
ER,9000,4.0,0,1977,1931,1529,1483,3460,2980,1.26875,3.4500386714935303,5607500
BA,9000,4.0,0,3112,3070,1875,1833,4945,4262,1.24597364568082,3.393275260925293,4811700
ER,9000,4.0,1,1977,1931,1542,1496,3473,2980,1.231237322515213,2.8808648586273193,5575044
BA,9000,4.0,1,3112,3070,1895,1853,4965,4262,1.2574679943100995,4.473346948623657,4890226
ER,9000,4.0,2,1977,1931,1533,1487,3464,2980,1.2603305785123966,3.369927406311035,5481844
BA,9000,4.0,2,3112,3070,1866,1824,4936,4262,1.2596439169139466,3.638681411743164,4608634
ER,9000,4.0,3,1977,1931,1529,1483,3460,2980,1.2666666666666666,2.547743082046509,5587740
BA,9000,4.0,3,3112,3070,1890,1848,4960,4262,1.2292263610315186,3.5549404621124268,4942810
ER,9000,4.0,4,1977,1931,1530,1484,3461,2980,1.2432432432432432,3.232713460922241,5715404
BA,9000,4.0,4,3112,3070,1840,1798,4910,4262,1.2700617283950617,4.043956995010376,4774284
ER,9000,4.0,5,1977,1931,1545,1499,3476,2980,1.2439516129032258,2.937312364578247,5127437
BA,9000,4.0,5,3112,3070,1875,1833,4945,4262,1.2547584187408491,3.333789825439453,5380162
ER,9000,4.0,6,1977,1931,1550,1504,3481,2980,1.253493013972056,3.164973258972168,5581756
BA,9000,4.0,6,3112,3070,1867,1825,4937,4262,1.2503703703703704,3.9586000442504883,4688308
ER,9000,4.0,7,1977,1931,1530,1484,3461,2980,1.2577962577962578,2.660073757171631,5557020
BA,9000,4.0,7,3112,3070,1884,1842,4954,4262,1.2702312138728324,4.086639881134033,4861524
ER,9000,4.0,8,1977,1931,1552,1506,3483,2980,1.2723658051689861,2.590273141860962,5595764
BA,9000,4.0,8,3112,3070,1889,1847,4959,4262,1.2395982783357244,3.774442672729492,5109098
ER,9000,4.0,9,1977,1931,1534,1488,3465,2980,1.2185567010309277,3.153305768966675,4975460
BA,9000,4.0,9,3112,3070,1894,1852,4964,4262,1.235042735042735,3.850050449371338,4721898
ER,10000,4.0,0,2197,2162,1718,1683,3880,3351,1.2930056710775046,3.8868603706359863,6085500
BA,10000,4.0,0,3456,3454,2036,2034,5490,4824,1.2282282282282282,4.229021310806274,5711540
ER,10000,4.0,1,2197,2162,1720,1685,3882,3351,1.2636534839924671,3.8225769996643066,6061668
BA,10000,4.0,1,3456,3454,2066,2064,5520,4824,1.2270114942528736,4.167574405670166,6351138
ER,10000,4.0,2,2197,2162,1716,1681,3878,3351,1.3074003795066413,3.973578453063965,6681732
BA,10000,4.0,2,3456,3454,2069,2067,5523,4824,1.2489270386266094,4.333049297332764,6375092
ER,10000,4.0,3,2197,2162,1726,1691,3888,3351,1.324022346368715,3.854762315750122,6040284
BA,10000,4.0,3,3456,3454,2078,2076,5532,4824,1.2302259887005649,4.29295015335083,6374292
ER,10000,4.0,4,2197,2162,1726,1691,3888,3351,1.2513966480446927,3.8568923473358154,6102548
BA,10000,4.0,4,3456,3454,2074,2072,5528,4824,1.2272727272727273,4.284971714019775,5897202
ER,10000,4.0,5,2197,2162,1711,1676,3873,3351,1.3026819923371646,3.6188433170318604,6038780
BA,10000,4.0,5,3456,3454,2081,2079,5535,4824,1.2376933895921238,4.331697463989258,5920148
ER,10000,4.0,6,2197,2162,1721,1686,3883,3351,1.3026315789473684,4.375871658325195,6151524
BA,10000,4.0,6,3456,3454,2068,2066,5522,4824,1.2363896848137537,4.596027612686157,6416324
ER,10000,4.0,7,2197,2162,1700,1665,3862,3351,1.2602739726027397,4.137564420700073,6128644
BA,10000,4.0,7,3456,3454,2074,2072,5528,4824,1.2670454545454546,4.388142824172974,6428834
ER,10000,4.0,8,2197,2162,1714,1679,3876,3351,1.3009523809523809,4.085661172866821,6083186
BA,10000,4.0,8,3456,3454,2079,2077,5533,4824,1.1946403385049364,4.245572090148926,6375260
ER,10000,4.0,9,2197,2162,1716,1681,3878,3351,1.2827324478178368,3.816823959350586,6083340
BA,10000,4.0,9,3456,3454,2077,2075,5531,4824,1.2333804809052333,4.332406759262085,6360332
